S.No,Security Domain,Controls,Questions,Information obtained from Architecture Review Document,Vardaan Team Response
27,Access Control & Authorization,RBAC/ABAC Model,Is RBAC enforced server-side (to ensure authorization cannot be bypassed at the client level)?  ,"ENABLE_RBAC=False, RBAC_DECORATOR_BYPASS=True",
28,,RBAC/ABAC Model,"Is object-level authorization implemented to prevent Insecure Direct Object Reference (IDOR) attacks, which could allow unauthorized access to sensitive records?  ",RBACUtils.check_permission used,
29,,Auth & Scopes  ,"Are permissions consistently enforced at the API layer, ensuring that every endpoint validates user roles and privileges?  ",RBAC utilities and DRF permission classes used,
30,,RBAC/ABAC Model,"Are development-only authorization bypasses present, and if so, are they disabled in production to prevent accidental exposure of sensitive functions?  ",RBAC disabled and decorator bypass enabled in development,
31,,Least Privilege & SoD,"Is least privilege enforced, ensuring users and services only have the minimum permissions required for their roles?  ",Granular RBAC permissions defined,
32,,RBAC/ABAC Model,"Is authorization consistent across all modules, preventing discrepancies that could allow privilege escalation between different application components?  ",RBAC implemented for GRC and TPRM,
33,,OWASP Top 10 Controls  ,"Are HTTP response security headers centrally enforced at the application or web server layer, to mitigate common web attacks (XSS, clickjacking, MIME sniffing)?  ","X-Content-Type-Options: nosniff
X-Frame-Options: DENY
X-XSS-Protection: Enabled via SecurityMiddleware
Strict-Transport-Security (HSTS): Configurable (disabled in development)",
34,,Admin Surface Protection,"Are administrative functions isolated from regular user functions, ensuring that privileged operations are accessible only through secure, restricted interfaces?  ",,
35,,Security Logging,"Are authorization decisions logged and monitored, to detect suspicious privilege use or abuse?  ",,
36,API & Integration Security,Auth & Scopes,Are APIs protected using authentication and authorization controls (to ensure only legitimate users and services can access sensitive endpoints)?  ,JWT and RBAC applied to authenticated APIs,
37,,API Gateway / WAF,Are public APIs minimized (to reduce the attack surface and prevent accidental exposure of sensitive functionality)?  ,Many endpoints public including integrations,
38,,Rate Limiting & Quotas,"Are API usage limits enforced to prevent abuse (e.g., brute force, denial-of-service, or resource exhaustion attacks)?  ",Daily per-user API usage tracking and limits implemented,
39,,Auth & Scopes  ,Are OAuth redirect and callback endpoints explicitly defined (to prevent open redirect vulnerabilities and unauthorized redirection)?  ,Dedicated OAuth callback endpoints defined,
40,, Error Handling & Messaging,"Are error messages sanitized (to avoid leaking sensitive information such as stack traces, database details, or internal logic to attackers)?",,
41,,API Governance & Versioning Control,"Are APIs versioned (to ensure backward compatibility, controlled deprecation and secure migration)?",,
42,,Validation & Encoding,"Is input validation documented and enforced (to prevent injection attacks, malformed requests, and ensure data integrity)?",,
43,,Auth & Scopes,Are OAuth callbacks validated for authenticity (to prevent attackers from hijacking the OAuth flow and redirecting tokens to malicious endpoints)?,,
44,,OWASP Top 10 Controls  ,"Are APIs protected against replay attacks (e.g., using nonce, timestamp validation, or signature verification)?  ",,
45,,Third-party & SBOM,Are third-party integrations authenticated and authorized (to ensure external services cannot misuse APIs)?  ,,
46,,Security Logging,"Are APIs monitored and logged (to detect anomalies, unauthorized access attempts, or abuse patterns)?  ",,
47,Data Protection & Privacy,Managed Database Security Control,"Is sensitive data stored in managed databases (to ensure vendor-provided security controls, patching, and compliance certifications are leveraged)?",MySQL databases hosted on AWS RDS,
48,,Network Segmentation  ,Is data logically segregated between modules (to prevent cross-module data leakage and enforce least privilege access)?,Separate databases for GRC and TPRM,
49,,Encryption At Rest,Is encryption at rest enabled for databases (to protect sensitive data if storage media is compromised)?  ,,
50,,Network Segmentation  ,"Is the database publicly accessible, and what are the network exposure details (to ensure databases are not exposed directly to the internet)?  ",,
51,,Classification & Handling  ,"Is object storage used for document data, and are appropriate access controls applied (to prevent unauthorized access to files)?  ",AWS S3 used for document storage,
52,,Tenant Isolation Control,Is tenant isolation documented and enforced (to prevent one tenant�s data from being accessed by another in multi-tenant environments)?  ,,
53,,RBAC/ABAC Model,Are database-level access controls enforced (to restrict queries and operations based on user roles)?  ,Database router enforces separation,
54,,Session Management  ,Are JWT tokens stored securely ?  ,Stored in localstorage or memory,
55,,Retention & Disposal,"Are data retention and deletion policies defined (to comply with GDPR, HIPAA, and other privacy regulations)?",,
56,,Privacy & Regulatory  ,Is sensitive data masked or anonymized in non-production environments (to prevent leakage during testing or development)?,,
57,Cryptography & Key Management,Runtime Secrets Handling  ,Are cryptographic keys configurable via secure configuration?,Secrets loaded via environment variables,
58,,Centralized Key Management Control,"Is a centralized key management service documented (to provide secure storage, rotation, and auditing of keys instead of relying on local or ad-hoc storage)?  ",,
59,,Cryptographic Algorithm Governance Control,Are cryptographic algorithms explicitly defined and aligned with industry best practices?  ,JWT uses HS256,
60,,Runtime Secrets Handling,Is key rotation documented and enforced (to limit the impact of compromised keys and meet compliance requirements for periodic rotation)?  ,,
61,,RBAC/ABAC Model,Are encryption keys protected with role-based access controls (to ensure only authorized services and personnel can access them)?  ,,
62,,Encryption At Rest + Encryption In Transit,Are keys encrypted at rest and in transit (to prevent interception or theft during storage or transmission)?  ,,
63,,Key Revocation Control,Is there a process for revoking compromised keys immediately (to prevent continued misuse if a key is exposed)?,,
64,,Vulnerability Management,"Are cryptographic libraries and dependencies regularly updated (to patch vulnerabilities in underlying crypto implementations)?  Example: Outdated libraries often contain exploitable flaws (e.g., OpenSSL vulnerabilities).",,
65,Secure Configuration & Secrets Management,Secrets in Code & IaC  ,"Are any secrets, API keys, or credentials hardcoded in the application codebase?",Uses env variables,
66,,Secrets Rotation Policy,"Are secrets rotated regularly, and what is the defined rotation policy?",,
67,,Centralized Secrets Management,"Is a centralized secrets manager (e.g., AWS Secrets Manager, Azure Key Vault, HashiCorp Vault) used for managing secrets instead of environment variables (to provide encryption, access control, rotation, and audit logging)?  ",Secrets are stored via env variables,
68,,Environment Configuration Isolation,Are environment?specific configurations stored separately and securely (to prevent accidental leakage of production secrets into development or staging environments)?  ,Separate dev/staging/prod configs,
69,,Security Logging  ,Are secrets prevented from appearing in logs or error messages?,,
70,, Runtime Secrets Handling  ,Are secrets encrypted at rest and in transit? Are access controls enforced for secrets? Is there a process for immediate revocation of compromised secrets? ,,
71,"Logging, Monitoring & Incident Response",Authentication & Activity Logging,Are authentication events and user actions logged consistently across the application?,Secrets are stored via env variables+E65,
72,,Immutable Audit Trails,Is a complete audit trail maintained for critical operations?,AuditLoggingMiddleware records actions,
73,,Centralized Logging & SIEM Ingestion,Are logs centralized using a log aggregation system? What are the log retention periods and SIEM ingestion details?,Sentinel integration for alerts,
74,,Incident Management & Response,Does the system support incident management and incident response workflows?,Incident Management module available,
75,,Log Integrity & Tamper Protection,Are security logs protected against tampering?,,
76,,User?Focused Threat Detection,Are alerts generated for suspicious activity for individual accounts?,Account lockout email notifications,
77,, SIEM Integration,Is integration with a SIEM platform supported?,Microsoft Sentinel integration,
78,Secure SDLC & DevSecOps,Containerized Workloads,Is containerization used for deploying application workloads?,Docker used for backend,
79,,Vulnerability Management  ,"Are security testing tools (SAST, DAST, SCA) documented and integrated into the pipeline?",,
80,,Environment?Separated CI/CD Pipelines,"Are separate CI/CD pipelines defined for each environment (dev, QA, staging, prod) to prevent accidental deployment of insecure or untested code into production?  ",,
81,,Dependency Governance & Vulnerability Scanning,"Are dependencies (libraries, packages, modules) managed and scanned for vulnerabilities using automated tools (to prevent exploitation of known CVEs and supply chain attacks)?  ",,
82,,Runtime Secrets Handling  ,Are secrets and sensitive configuration values excluded from CI/CD pipelines?,,
83,,CI/CD Rollback & Recovery Control,Is rollback or recovery defined in CI/CD (to ensure rapid restoration if a deployment introduces vulnerabilities or breaks functionality)?  ,,
84,Infrastructure & Cloud Security,Cloud Hosting Posture,"Is the application hosted on a major cloud provider such as AWS, Azure, or GCP?","AWS EC2, RDS, S3",
85,,Managed Database Services Usage,"Are managed database services (RDS, Cloud SQL, Cosmos DB, etc.) used?",AWS RDS used,
86,,Network Segmentation,"Is network?level security configuration documented (VPC, subnets, security groups, ACLs, firewalls) to demonstrate segmentation and defense-in-depth)? ",,
87,, HTTPS Enforcement,"Are all client?backend communications encrypted using HTTPS, with HTTP redirected to HTTPS?",Frontend dev uses HTTP. Production mentions HTTPS but also shows HTTP URLs. ,
88,,Strong TLS Configuration,Are strong TLS versions/Cipher suites enforced?,,
89,,Internal Service Encryption,"Are internal service?to?service communications encrypted (e.g., RDS, Redis, S3 connections) to prevent lateral movement attacks inside the cloud environment)?",,
90,,Server & OS Hardening ,Are servers hardened following CIS or other approved security baselines? Provide OS hardening details.,,
91,,Web Application Firewall,"Is a Web Application Firewall (WAF) enabled to protect APIs (e.g., AWS WAF, Azure Front Door, Cloud Armor)?",,
92,,Object Storage Public Access Controls,"Is object storage (e.g., S3 buckets) protected from public access, and what bucket policies are applied?",,
93,,OWASP Top 10 Controls  ,Are file uploads scanned for malware before being processed or stored?,OCR+PDF processing only,
94,,Encryption at Rest,"Is encryption at rest enabled (SSE?S3, KMS, etc.) for all stored data?",,
95,,Redis Security,"Is Redis protected with authentication (password + TLS), and is Redis non?publicly exposed?",,
96,,Workload Isolation,Are workloads isolated using containers or VMs?,Docker on EC2,
97,,Network Segmentation,Is network segmentation documented across environments and services?,,
98,,IAM Role Governance,"Are IAM roles, permissions, and access control policies documented?",,
99,,SIEM & Alerting,"Are cloud-native monitoring and alerting tools (e.g., AWS CloudWatch, GuardDuty, Security Hub) enabled (to detect anomalies and threats in real time)?  ",,
100,, IaC & Drift Management,Are infrastructure changes managed via Infrastructure as Code (IaC) with security scanning ?  - IaC misconfigurations are a leading cause of cloud breaches.,,
101,Compliance & Regulatory Controls,Compliance Workflow Support,Does the platform support required compliance management workflows?,Compliance and audit modules present,
102,,GDPR Operationalization,"Are GDPR?related workflows implemented (data subject requests, consent management, data deletion)?",Data subject request endpoint available,
103,,Data Retention Policies,Are data retention policies documented for all data categories?,,
104,,Security Logging  ,Are audit?log retention requirements defined and followed?,,
105,,Audit Evidence Generation,Is evidence generation supported for internal or external audits?,Audit reports and evidence APIs available,
106,,Standards Mapping & Gaps,"Are compliance certifications (e.g., ISO 27001, SOC 2, PCI DSS) documented and mapped to platform controls (to demonstrate alignment with industry standards)?  ",,
107,,Vendor Risk Management,Are third?party integrations assessed for compliance risks (to ensure vendors and partners meet the same regulatory standards)?  ,,
108,,Compliance Change Monitoring Control ,"Is there a process for monitoring regulatory changes and updating workflows accordingly (to ensure ongoing compliance as laws evolve)?  - Regulations change frequently; Without a monitoring process, compliance gaps may emerge.",,
109,Business Continuity & DR,Backups & Immutability,Is a backup strategy defined for all critical systems and data?,,
110,,RTO/RPO & DR Testing,What are the defined RPO (Recovery Point Objective) and RTO (Recovery Time Objective) for critical systems (to measure how much data loss and downtime is acceptable during a disaster)?  ,,
111,,RTO/RPO & DR Testing  ,Are Disaster Recovery (DR) drills performed regularly?,,
112,,High Availability Architecture,Is High Availability (HA) implemented for critical components?,,
113,,Backups & Immutability,"Is ransomware protection implemented (immutable backups, snapshots, threat detection)?",,
114,,Backups & Immutability,Are backups encrypted and stored offsite or in multiple regions (to protect against physical disasters and comply with data protection regulations)?  ,,
115,,Incident Response Playbooks & Exercises  ,"Is there a documented communication plan for disaster scenarios (to ensure stakeholders, customers, and regulators are informed promptly)?  ",,
116,,Vendor Risk Management  ,"Are third-party dependencies (cloud providers, SaaS services) included in the BC/DR plan (to ensure vendor outages don�t cripple operations)?  ",,
